Train loss,Val loss,Train class accuracy,Train No object accuracy,Train object accuracy,Val class accuracy,Val No object accuracy,Val object accuracy,mAP
2.103053808,3.075716461,91.2867,99.9076,74.0628,83.1746,99.9202,68.5714,0.5182
2.101176614,2.955012117,91.7172,99.9306,65.4545,84.2767,99.9335,60.0629,0.531
2.023465094,3.206887007,92.2691,99.8792,71.6867,86.7284,99.8947,69.1358,0.4095
2.143657011,3.175806931,90.1722,99.9098,72.5431,86.1386,99.9316,61.3861,0.4726
2.191798371,2.930126701,89.7281,99.9147,66.4653,84.4237,99.9273,64.7975,0.574
1.968343071,3.09094211,91.8724,99.9182,70.7819,84.4444,99.9285,67.9365,0.6418
1.965219845,3.313824041,90.202,99.9179,70.404,83.8188,99.9297,63.4304,0.4557
1.935035327,2.740805285,92.638,99.9251,70.4499,85.7605,99.9411,64.7249,0.5394
2.045111055,3.340074267,90.5199,99.8982,72.2732,86.7314,99.93,64.7249,0.5153
1.975267576,3.330756017,91.5392,99.938,67.0744,86.6667,99.9442,67.3016,0.4851
2.172942877,3.012145111,90.8081,99.9455,59.596,82.8479,99.9554,60.5178,0.4769
2.007643047,3.074380296,92.8715,99.8824,71.1847,82.2222,99.9148,65.0794,0.3776
1.794127615,2.694445797,93.7888,99.9305,75.2588,81.8182,99.9391,75.7576,0.5099
1.733630087,2.725513748,92.9231,99.9635,62.8718,86.3095,99.9664,58.9286,0.5205
1.849890331,3.210966962,93.047,99.9309,71.8814,87.5,99.9352,69.2308,0.3599
1.870274119,2.722874948,91.5907,99.9206,74.4681,84.1122,99.9356,68.5358,0.609
1.637076777,2.545246567,92.7052,99.9317,69.0983,85.2564,99.9464,65.3846,0.4956
1.718944182,3.012894324,93.5936,99.9237,74.4745,85.7605,99.9309,67.6375,0.5652
1.686070152,2.888695819,93.0683,99.9305,77.472,86.3492,99.9304,72.381,0.4998
1.764019531,3.716044222,93.0514,99.9128,75.8308,82.263,99.9346,63.3027,0.3652
1.765443838,2.851400648,93.1138,99.9076,75.0499,86.6667,99.9121,71.2121,0.6277
1.762729412,2.981429917,92.3547,99.9347,71.7635,90.2516,99.9489,59.7484,0.5994
1.788045702,3.057860783,94.5974,99.9396,77.8797,88.6792,99.9509,66.0377,0.5069
1.694556905,2.506239891,93.0303,99.9022,78.0808,86.8502,99.9234,67.8899,0.6005
1.848817328,2.986217277,92.85,99.9247,73.2125,83.6601,99.9437,65.3595,0.5483
1.84749625,2.856708203,91.3394,99.9351,72.3061,85.4938,99.9481,64.1975,0.6404
1.911286857,3.126910142,94.3434,99.8985,82.4242,85.0153,99.9213,71.8654,0.547
1.736585887,3.051440375,93.6992,99.9313,75.4065,85.8974,99.9452,63.4615,0.5545
1.773578867,3.27981833,95.5956,99.9494,71.2713,84.9359,99.9679,59.2949,0.4388
1.51885001,2.633537957,94.7791,99.9274,78.4137,84.7619,99.9563,62.8571,0.5499
1.513048136,3.068470751,92.7984,99.936,78.9095,85.6209,99.949,67.6471,0.6061
1.784822428,2.793431112,92.4242,99.9291,78.3838,88.141,99.9445,74.0385,0.5969
1.690205828,2.737741096,93.0683,99.9286,76.1468,84.5679,99.9501,64.1975,0.5967
1.621626216,2.862544741,90.1423,99.9388,75.1016,85.3211,99.9509,67.2783,0.604
1.619562978,2.611431309,93.7436,99.9436,72.9231,85.5346,99.9492,68.8679,0.6904
1.532460985,2.778166941,94.7791,99.946,78.2129,87.1069,99.9546,68.5535,0.5629
1.425898728,2.732472863,93.2927,99.9344,75.7114,86.6044,99.9513,61.9938,0.5696
1.513021176,3.084991898,96.0123,99.9262,83.1288,88.4615,99.947,67.9487,0.5705
1.416818735,3.422118562,93.9394,99.9376,84.1414,82.866,99.9521,69.7819,0.4967
1.494470166,3.668536288,92.6485,99.9302,73.716,82.8571,99.9491,67.3016,0.4651
1.648968199,3.416486502,92.3781,99.9473,72.9675,83.9744,99.9579,67.9487,0.3676
1.616101747,3.83024512,95.8711,99.9031,82.1752,80.9969,99.9259,66.6667,0.5288
1.587802581,3.208709785,95.0803,99.9149,82.4297,84.8485,99.9361,73.4007,0.561
1.470755085,3.264554535,95.1943,99.9546,78.2209,83.642,99.9616,66.9753,0.546
1.615159558,3.181881257,94.4785,99.9204,83.5378,83.0065,99.9433,65.6863,0.5319
1.66156804,2.446940763,93.5354,99.9311,76.8687,88.5802,99.9452,65.4321,0.6116
1.609818417,2.896586452,95.9596,99.9352,79.899,83.9506,99.9503,67.9012,0.5915
